CDR Similarity to the native antibody	SESA Score Interval
0.86	0.5~0.6
0.842	0.5~0.6
0.793	0.5~0.6
0.683	0.5~0.6
0.793	0.5~0.6
0.807	0.5~0.6
0.825	0.5~0.6
0.776	0.5~0.6
0.81	0.5~0.6
0.759	0.5~0.6
0.825	0.5~0.6
0.776	0.5~0.6
0.828	0.5~0.6
0.842	0.5~0.6
0.828	0.5~0.6
0.667	0.5~0.6
0.759	0.5~0.6
0.81	0.5~0.6
0.793	0.5~0.6
0.825	0.5~0.6
0.772	0.5~0.6
0.793	0.5~0.6
0.7	0.5~0.6
0.793	0.5~0.6
0.807	0.5~0.6
0.667	0.5~0.6
0.81	0.5~0.6
0.807	0.5~0.6
0.776	0.5~0.6
0.877	0.5~0.6
0.772	0.5~0.6
0.807	0.5~0.6
0.793	0.5~0.6
0.807	0.5~0.6
0.81	0.5~0.6
0.759	0.5~0.6
0.81	0.5~0.6
0.789	0.5~0.6
0.86	0.5~0.6
0.776	0.5~0.6
0.793	0.5~0.6
0.828	0.5~0.6
0.842	0.5~0.6
0.789	0.5~0.6
0.776	0.5~0.6
0.842	0.5~0.6
0.724	0.5~0.6
0.776	0.5~0.6
0.828	0.5~0.6
0.793	0.5~0.6
0.793	0.5~0.6
0.793	0.5~0.6
0.772	0.5~0.6
0.789	0.5~0.6
0.793	0.5~0.6
0.81	0.5~0.6
0.793	0.5~0.6
0.776	0.5~0.6
0.789	0.5~0.6
0.789	0.5~0.6
0.842	0.5~0.6
0.81	0.5~0.6
0.81	0.5~0.6
0.759	0.5~0.6
0.776	0.5~0.6
0.776	0.5~0.6
0.828	0.5~0.6
0.793	0.5~0.6
0.877	0.5~0.6
0.81	0.5~0.6
0.81	0.5~0.6
0.661	0.5~0.6
0.789	0.5~0.6
0.793	0.5~0.6
0.793	0.5~0.6
0.86	0.5~0.6
0.842	0.5~0.6
0.776	0.5~0.6
0.81	0.5~0.6
0.81	0.5~0.6
0.627	0.5~0.6
0.759	0.5~0.6
0.667	0.5~0.6
0.65	0.5~0.6
0.825	0.5~0.6
0.842	0.5~0.6
0.789	0.5~0.6
0.825	0.5~0.6
0.789	0.5~0.6
0.737	0.5~0.6
0.825	0.5~0.6
0.759	0.5~0.6
0.86	0.5~0.6
0.776	0.5~0.6
0.877	0.5~0.6
0.86	0.5~0.6
0.825	0.5~0.6
0.86	0.5~0.6
0.81	0.5~0.6
0.754	0.5~0.6
0.789	0.5~0.6
0.65	0.5~0.6
0.633	0.5~0.6
0.793	0.5~0.6
0.828	0.5~0.6
0.86	0.5~0.6
0.754	0.5~0.6
0.81	0.5~0.6
0.776	0.5~0.6
0.793	0.5~0.6
0.776	0.5~0.6
0.825	0.5~0.6
0.828	0.5~0.6
0.772	0.5~0.6
0.862	0.5~0.6
0.793	0.5~0.6
0.807	0.5~0.6
0.633	0.5~0.6
0.741	0.5~0.6
0.793	0.5~0.6
0.793	0.5~0.6
0.86	0.5~0.6
0.789	0.5~0.6
0.776	0.5~0.6
0.825	0.5~0.6
0.772	0.5~0.6
0.81	0.5~0.6
0.741	0.5~0.6
0.776	0.5~0.6
0.842	0.5~0.6
0.842	0.5~0.6
0.793	0.5~0.6
0.825	0.5~0.6
0.825	0.5~0.6
0.807	0.5~0.6
0.707	0.5~0.6
0.776	0.5~0.6
0.825	0.5~0.6
0.789	0.5~0.6
0.842	0.5~0.6
0.793	0.5~0.6
0.789	0.5~0.6
0.81	0.5~0.6
0.754	0.5~0.6
0.65	0.5~0.6
0.772	0.5~0.6
0.65	0.5~0.6
0.633	0.5~0.6
0.845	0.5~0.6
0.86	0.5~0.6
0.793	0.5~0.6
0.81	0.5~0.6
0.842	0.5~0.6
0.842	0.5~0.6
0.81	0.5~0.6
0.807	0.5~0.6
0.81	0.5~0.6
0.807	0.5~0.6
0.842	0.5~0.6
0.65	0.5~0.6
0.81	0.5~0.6
0.776	0.5~0.6
0.793	0.5~0.6
0.828	0.5~0.6
0.759	0.5~0.6
0.828	0.5~0.6
0.759	0.5~0.6
